,Review,group_level1,group_level2,group_level3,norm_interp2,norm_interp3,group_level1_alt,group_level2_alt,norm_interp2_alt,norm_interp3_alt
398,Tillage,Water Quality,Flow Quantity,Water Discharge,Negative,assumed societal harm,NA,NA,NA,NA
467,Nutrient Amendment,Water Quality,Flow Quantity,Water Discharge,Negative,assumed societal harm,NA,NA,NA,NA
399,Continuous Cover,Water Quality,Nutrient Runoff,Ammonium,Negative,assumed societal harm,NA,NA,NA,NA
400,Tillage,Water Quality,Nutrient Runoff,Ammonium,Negative,assumed societal harm,NA,NA,NA,NA
700,Nutrient Amendment,Water Quality,Nutrient Runoff,Ammonium,Negative,assumed societal harm,NA,NA,NA,NA
401,Continuous Cover,Water Quality,Nutrient Runoff,Dissolved Organic Carbon,Negative,assumed societal harm,NA,NA,NA,NA
701,Nutrient Amendment,Water Quality,Nutrient Runoff,Dissolved Organic Carbon,Negative,assumed societal harm,NA,NA,NA,NA
402,Continuous Cover,Water Quality,Nutrient Runoff,Dissovled Organic Carbon,Negative,assumed societal harm,NA,NA,NA,NA
403,Tillage,Water Quality,Nutrient Runoff,Dissovled Organic Carbon,Negative,assumed societal harm,NA,NA,NA,NA
702,Nutrient Amendment,Water Quality,Nutrient Runoff,Dissovled Organic Carbon,Negative,assumed societal harm,NA,NA,NA,NA
404,Continuous Cover,Water Quality,Nutrient Runoff,Manure,Negative,assumed societal harm,NA,NA,NA,NA
405,Tillage,Water Quality,Nutrient Runoff,Manure,Negative,assumed societal harm,NA,NA,NA,NA
703,Nutrient Amendment,Water Quality,Nutrient Runoff,Manure,Negative,assumed societal harm,NA,NA,NA,NA
406,Continuous Cover,Water Quality,Nutrient Runoff,Micro-Nutrients,Negative,assumed societal harm,NA,NA,NA,NA
407,Tillage,Water Quality,Nutrient Runoff,Micro-Nutrients,Negative,assumed societal harm,NA,NA,NA,NA
704,Nutrient Amendment,Water Quality,Nutrient Runoff,Micro-Nutrients,Negative,assumed societal harm,NA,NA,NA,NA
408,Continuous Cover,Water Quality,Nutrient Runoff,Nitrate,Negative,assumed societal harm,NA,NA,NA,NA
409,Tillage,Water Quality,Nutrient Runoff,Nitrate,Negative,assumed societal harm,NA,NA,NA,NA
705,Nutrient Amendment,Water Quality,Nutrient Runoff,Nitrate,Negative,assumed societal harm,NA,NA,NA,NA
410,Continuous Cover,Water Quality,Nutrient Runoff,Nitrogen,Negative,assumed societal harm,NA,NA,NA,NA
706,Nutrient Amendment,Water Quality,Nutrient Runoff,Nitrogen,Negative,assumed societal harm,NA,NA,NA,NA
411,Continuous Cover,Water Quality,Nutrient Runoff,Phosphorus,Negative,assumed societal harm,NA,NA,NA,NA
412,Tillage,Water Quality,Nutrient Runoff,Phosphorus,Negative,assumed societal harm,NA,NA,NA,NA
707,Nutrient Amendment,Water Quality,Nutrient Runoff,Phosphorus,Negative,assumed societal harm,NA,NA,NA,NA
413,Continuous Cover,Water Quality,Nutrient Runoff,Potassium,Negative,assumed societal harm,NA,NA,NA,NA
708,Nutrient Amendment,Water Quality,Nutrient Runoff,Potassium,Negative,assumed societal harm,NA,NA,NA,NA
414,Continuous Cover,Water Quality,Sediment Runoff,Sediment Runoff,Negative,assumed societal harm,NA,NA,NA,NA
415,Tillage,Water Quality,Sediment Runoff,Sediment Runoff,Negative,assumed societal harm,NA,NA,NA,NA
709,Nutrient Amendment,Water Quality,Sediment Runoff,Sediment Runoff,Negative,assumed societal harm,NA,NA,NA,NA
